community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent
Camelia,Arabian Ranches 2,Ready,Villa,4650000,51,1578,2947,4,24 Jun 2025,Individual (2 Times),1400,5915000,124,6
Palma,Arabian Ranches 2,Ready,Villa,7700000,67,1552,4961,4,23 Jun 2025,Individual (2 Times),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,9200000,92,1213,7583,4,19 Jun 2025,Individual (2 Times),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,6000000,59,1203,4989,4,18 Jun 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,6600000,75,1281,5152,4,17 Jun 2025,Individual (1 Time),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,3250000,120,1988,1635,3,09 Jun 2025,Individual (2 Times),1400,5915000,124,6
Yasmin,Arabian Ranches 2,Ready,Villa,11500000,92,1427,8058,6,04 Jun 2025,Individual (2 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,4350000,31,1039,4185,4,04 Jun 2025,Individual (2 Times),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,7400000,56,1300,5692,5,02 Jun 2025,Individual (1 Time),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,9600000,81,1327,7233,4,30 May 2025,Individual (1 Time),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,7050000,49,1277,5521,5,30 May 2025,Individual (1 Time),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,3500000,63,1796,1949,3,28 May 2025,Individual (2 Times),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,15000000,114,1979,7578,5,27 May 2025,Individual (2 Times),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,4990000,37,1251,3989,3,26 May 2025,Individual (1 Time),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,5250000,75,1280,4101,3,22 May 2025,Individual (2 Times),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,5500000,38,1026,5359,3,20 May 2025,Individual (1 Time),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,4980000,53,1285,3875,3,16 May 2025,Individual (2 Times),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,6200000,158,1333,4650,4,16 May 2025,Individual (3 Times),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,7450000,126,1300,5732,4,14 May 2025,Individual (3 Times),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,8700000,85,1263,6889,4,14 May 2025,Individual (1 Time),1400,5915000,124,6
