community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent,predicted_type,prediction_confidence,prediction_reason
Samara,Arabian Ranches 2,Ready,Villa,5550000,76.0,1354,4099,3.0,01 Sep 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1,50,bedrooms match; BUA 4099 within standard range 3559–4177
Rosa,Arabian Ranches 2,Ready,Villa,8825000,84.0,1195,7387,4.0,01 Sep 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 7387 well above range — heavily extended or wrong type (max 4654)
Samara,Arabian Ranches 2,Ready,Villa,7450000,77.0,1560,4777,5.0,29 Aug 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 3,50,bedrooms match; BUA 4777 within standard range 3799–5159
Camelia,Arabian Ranches 2,Ready,Villa,4600000,158.0,1287,3574,4.0,25 Aug 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1E,42,bedrooms match; BUA 3574 slightly above range — possible extension (max 3460)
Camelia,Arabian Ranches 2,Ready,Villa,3200000,108.0,1979,1617,3.0,25 Aug 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1617 within standard range 1386–2122
Reem,Arabian Ranches 2,Ready,Villa,4000000,52.0,1351,2961,4.0,21 Aug 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1E,42,bedrooms match; BUA 2961 slightly above range — possible extension (max 2782)
Lila,Arabian Ranches 2,Ready,Villa,7650000,55.0,1645,4650,4.0,18 Aug 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 2,26,bedrooms match; BUA 4650 well above range — heavily extended or wrong type (max 3493)
Azalea,Arabian Ranches 2,Ready,Villa,6000000,56.0,1386,4330,4.0,12 Aug 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 2,34,bedrooms match; BUA 4330 above range — likely extended (max 3483)
Casa,Arabian Ranches 2,Ready,Villa,5450000,82.0,1250,4359,3.0,06 Aug 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3394)
Reem,Arabian Ranches 2,Ready,Villa,4725000,64.0,1580,2991,4.0,04 Aug 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1E,42,bedrooms match; BUA 2991 slightly above range — possible extension (max 2782)
Rosa,Arabian Ranches 2,Ready,Villa,9700000,84.0,1203,8061,4.0,31 Jul 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 8061 well above range — heavily extended or wrong type (max 4654)
Samara,Arabian Ranches 2,Ready,Villa,6350000,48.0,1579,4022,4.0,29 Jul 2025,Individual (3 Times),1400,5915000,124,6,Likely Type 2,50,bedrooms match; BUA 4022 within standard range 3128–4361
Palma,Arabian Ranches 2,Ready,Villa,6350000,51.0,1457,4359,5.0,24 Jul 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 6,50,bedrooms match; BUA 4359 within standard range 3383–4708
Rasha,Arabian Ranches 2,Ready,Villa,12000000,97.0,1042,11519,5.0,21 Jul 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 4,26,bedrooms match; BUA 11519 well above range — heavily extended or wrong type (max 5797)
Rosa,Arabian Ranches 2,Ready,Villa,12200000,65.0,1488,8200,6.0,21 Jul 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 5,34,bedrooms match; BUA 8200 above range — likely extended (max 6486)
Casa,Arabian Ranches 2,Ready,Villa,4500000,7.0,896,5020,4.0,18 Jul 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 4,42,bedrooms match; BUA 5020 slightly above range — possible extension (max 4708)
Camelia,Arabian Ranches 2,Ready,Villa,3300000,78.0,1825,1808,3.0,16 Jul 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1808 within standard range 1386–2122
Rosa,Arabian Ranches 2,Ready,Villa,8550000,85.0,1307,6544,4.0,16 Jul 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 3,34,bedrooms match; BUA 6544 above range — likely extended (max 5199)
